City,Hemisphere,Lat,Lng,Max Temp,Min Temp,Humidity,Cloudiness,Wind Speed,Country,Weather Date
Comodoro Rivadavia,Southern,-45.87,-67.5,39.2,39.2,64,0,10.29,AR,07/28/2020
Fort Nelson,Northern,58.81,-122.7,64.4,64.4,72,75,5.82,CA,07/28/2020
Tuktoyaktuk,Northern,69.45,-133.04,59.0,59.0,77,90,13.87,CA,07/28/2020
Tilichiki,Northern,60.47,166.1,66.74,66.74,53,0,10.49,RU,07/28/2020
Port Blair,Northern,11.67,92.75,84.11,84.11,77,100,12.93,IN,07/28/2020
Fairbanks,Northern,64.84,-147.72,59.0,52.0,82,90,6.93,US,07/28/2020
Flinders,Southern,-34.58,150.86,62.01,59.0,83,99,8.01,AU,07/28/2020
Jalu,Northern,29.03,21.55,74.21,74.21,56,0,9.31,LY,07/28/2020
Anadyr,Northern,64.75,177.48,62.6,62.01,72,75,13.42,RU,07/28/2020
Bulgan,Northern,48.81,103.53,68.07,68.07,59,0,5.66,MN,07/28/2020
Kouango,Northern,4.99,19.96,68.85,68.85,95,96,1.14,CF,07/28/2020
Cordele,Northern,31.96,-83.78,80.6,79.0,78,1,3.36,US,07/28/2020
Salalah,Northern,17.02,54.09,78.8,78.8,94,40,4.7,OM,07/28/2020
Karratha,Southern,-20.74,116.85,77.16,77.16,21,13,16.55,AU,07/28/2020
Gamba,Southern,-2.65,10.0,71.98,71.98,81,45,5.48,GA,07/28/2020
Richards Bay,Southern,-28.78,32.04,57.18,57.18,83,3,6.33,ZA,07/28/2020
Tabas,Northern,33.6,56.92,86.0,86.0,20,0,2.24,IR,07/28/2020
Dukat,Northern,62.55,155.55,75.36,75.36,34,4,16.91,RU,07/28/2020
Kumul,Northern,42.8,93.45,87.49,87.49,22,88,14.54,CN,07/28/2020
Kirakira,Southern,-10.45,161.92,84.9,84.9,73,74,9.48,SB,07/28/2020
Tacoronte,Northern,28.48,-16.41,70.0,64.4,93,90,20.8,ES,07/28/2020
Puerto Peñasco,Northern,31.32,-113.53,89.01,89.01,61,0,1.99,MX,07/28/2020
San Patricio,Northern,19.22,-104.7,84.2,84.2,79,75,0.87,MX,07/28/2020
Vestmannaeyjar,Northern,63.44,-20.27,50.13,50.13,77,0,19.71,IS,07/28/2020
Warwick,Northern,41.7,-71.42,82.99,77.0,61,1,8.05,US,07/28/2020
Palmerston,Southern,-12.49,130.98,82.99,82.4,20,80,10.29,AU,07/28/2020
Wewak,Southern,-3.55,143.63,84.65,84.65,67,14,5.99,PG,07/28/2020
Leh,Northern,34.17,77.58,61.84,61.84,37,6,6.24,IN,07/28/2020
Ploemeur,Northern,47.73,-3.43,55.0,51.8,87,11,4.7,FR,07/28/2020
Tessalit,Northern,20.2,1.01,83.7,83.7,50,50,1.61,ML,07/28/2020
Trofors,Northern,65.53,13.41,60.8,60.01,67,32,8.05,NO,07/28/2020
Mangaratiba,Southern,-22.96,-44.04,70.79,70.79,75,0,7.02,BR,07/28/2020
Batagay-Alyta,Northern,67.8,130.41,56.95,56.95,50,94,4.38,RU,07/28/2020
Arraial do Cabo,Southern,-22.97,-42.03,71.62,71.62,81,0,24.4,BR,07/28/2020
Kruisfontein,Southern,-34.0,24.73,49.73,49.73,59,0,7.02,ZA,07/28/2020
Guerrero Negro,Northern,27.98,-114.06,67.86,67.86,85,0,18.7,MX,07/28/2020
Sydney Mines,Northern,46.24,-60.22,62.01,60.8,100,75,6.93,CA,07/28/2020
Vila Franca do Campo,Northern,37.72,-25.43,71.6,71.6,88,40,1.79,PT,07/28/2020
Yenagoa,Northern,4.92,6.26,73.99,73.99,93,100,5.79,NG,07/28/2020
Susanville,Northern,40.42,-120.65,73.4,62.01,38,1,10.29,US,07/28/2020
Araxá,Southern,-19.59,-46.94,63.46,63.46,74,89,1.88,BR,07/28/2020
Iporá,Southern,-16.44,-51.12,66.45,66.45,47,0,1.74,BR,07/28/2020
Bandarbeyla,Northern,9.49,50.81,79.92,79.92,68,0,20.56,SO,07/28/2020
Waingapu,Southern,-9.66,120.26,81.77,81.77,53,19,15.64,ID,07/28/2020
Usakos,Southern,-22.0,15.6,55.51,55.51,37,0,11.12,NA,07/28/2020
Asău,Northern,46.43,26.4,59.0,59.0,87,38,4.63,RO,07/28/2020
Ligayan,Northern,4.65,119.47,84.52,84.52,66,98,4.07,PH,07/28/2020
Nyurba,Northern,63.28,118.33,59.56,59.56,57,100,8.59,RU,07/28/2020
Mabaruma,Northern,8.2,-59.78,74.97,74.97,97,2,0.67,GY,07/28/2020
Mil'kovo,Northern,54.72,158.62,76.51,76.51,52,18,2.06,RU,07/28/2020
Port Keats,Southern,-14.25,129.55,83.16,83.16,19,90,12.73,AU,07/28/2020
Santa María del Oro,Northern,25.93,-105.37,66.72,66.72,80,94,4.03,MX,07/28/2020
Campana,Southern,-34.17,-58.96,44.6,39.0,56,53,10.29,AR,07/28/2020
Novotroitsk,Northern,51.2,58.33,55.4,55.4,93,75,6.71,RU,07/28/2020
Nemuro,Northern,43.32,145.57,60.8,60.8,82,75,4.7,JP,07/28/2020
Nānākuli,Northern,21.39,-158.15,87.8,82.4,45,1,10.29,US,07/28/2020
Aquiraz,Southern,-3.9,-38.39,78.8,78.8,74,0,14.99,BR,07/28/2020
Hamilton,Northern,39.18,-84.53,73.0,71.01,94,1,4.7,US,07/28/2020
Oranjestad,Northern,12.52,-70.03,82.4,82.4,78,20,14.99,AW,07/28/2020
Chegdomyn,Northern,51.12,133.02,88.03,88.03,44,5,3.22,RU,07/28/2020
Palmas,Southern,-10.21,-48.36,73.4,73.4,60,0,6.93,BR,07/28/2020
Saravena,Northern,6.95,-71.88,72.48,72.48,89,89,2.01,CO,07/28/2020
Berlevåg,Northern,70.86,29.09,60.46,60.46,69,0,8.72,NO,07/28/2020
Dudinka,Northern,69.41,86.18,59.0,59.0,44,0,11.18,RU,07/28/2020
Kavaratti,Northern,10.57,72.64,82.09,82.09,81,100,15.23,IN,07/28/2020
Rūdbār,Northern,30.15,62.6,86.77,86.77,17,0,14.25,AF,07/28/2020
Krasnosel'kup,Northern,65.7,82.47,57.58,57.58,62,91,14.61,RU,07/28/2020
Boddam,Northern,57.47,-1.78,53.01,50.0,93,100,11.41,GB,07/28/2020
Lerwick,Northern,60.15,-1.15,55.4,55.4,100,100,12.75,GB,07/28/2020
Hansot,Northern,21.58,72.8,84.2,84.2,83,75,4.7,IN,07/28/2020
Gigmoto,Northern,13.78,124.39,84.16,84.16,78,100,6.76,PH,07/28/2020
Ryōtsu-minato,Northern,38.08,138.43,75.2,75.2,94,90,5.82,JP,07/28/2020
Kuril'sk,Northern,45.23,147.88,57.9,57.9,76,99,2.46,RU,07/28/2020
Umeå,Northern,63.83,20.26,59.0,57.99,100,90,3.33,SE,07/28/2020
Marsh Harbour,Northern,26.54,-77.06,82.26,82.26,77,43,6.96,BS,07/28/2020
Sur,Northern,22.57,59.53,86.7,86.7,65,0,10.96,OM,07/28/2020
Kyra,Northern,49.58,111.98,65.03,65.03,80,100,9.08,RU,07/28/2020
Dokka,Northern,60.84,10.06,48.99,46.99,88,86,5.01,NO,07/28/2020
Honningsvåg,Northern,70.98,25.97,59.14,59.14,70,0,11.52,NO,07/28/2020
Develi,Northern,38.39,35.49,57.2,57.2,76,0,2.24,TR,07/28/2020
Ejido,Northern,8.55,-71.24,66.0,66.0,64,42,4.18,VE,07/28/2020
Morros,Southern,-9.45,-46.3,68.54,68.54,55,0,6.67,BR,07/28/2020
Garoowe,Northern,8.41,48.48,75.9,75.9,70,7,18.5,SO,07/28/2020
Henties Bay,Southern,-22.12,14.28,57.0,57.0,88,0,8.77,NA,07/28/2020
Morondava,Southern,-20.28,44.28,62.24,62.24,55,29,5.84,MG,07/28/2020
Lata,Northern,40.16,-8.33,68.0,64.0,88,100,1.01,PT,07/28/2020
Rome,Northern,43.21,-75.46,75.2,72.0,88,1,3.36,US,07/28/2020
Biltine,Northern,14.53,20.92,81.3,81.3,58,100,10.33,TD,07/28/2020
Tadine,Southern,-21.55,167.88,73.42,73.42,75,100,15.48,NC,07/28/2020
Ulladulla,Southern,-35.35,150.47,59.0,55.0,87,75,17.22,AU,07/28/2020
Ouégoa,Southern,-20.35,164.43,76.57,76.57,69,98,16.71,NC,07/28/2020
Sangar,Northern,63.92,127.47,66.27,66.27,44,94,12.21,RU,07/28/2020
Utete,Southern,-7.99,38.76,65.91,65.91,81,1,1.59,TZ,07/28/2020
Nome,Northern,64.5,-165.41,51.8,50.0,87,90,13.87,US,07/28/2020
Tocopilla,Southern,-22.09,-70.2,58.06,58.06,60,10,0.47,CL,07/28/2020
Puerto Madryn,Southern,-42.77,-65.04,40.82,40.82,68,0,15.59,AR,07/28/2020
Lagoa,Northern,39.05,-27.98,72.9,72.9,88,0,5.68,PT,07/28/2020
Arrondissement de Chartres,Northern,48.42,1.5,66.0,64.99,85,62,4.0,FR,07/28/2020
Okhotsk,Northern,59.38,143.3,69.17,69.17,68,39,5.79,RU,07/28/2020
Turukhansk,Northern,65.82,87.98,53.37,53.37,63,99,17.49,RU,07/28/2020
Vao,Southern,-22.67,167.48,71.6,71.6,80,84,19.86,NC,07/28/2020
Oxford,Northern,51.75,-1.26,54.0,52.0,93,0,8.05,GB,07/28/2020
Antalaha,Southern,-14.9,50.28,72.09,72.09,80,98,8.81,MG,07/28/2020
Samarai,Southern,-10.62,150.67,80.8,80.8,84,100,9.66,PG,07/28/2020
Kavieng,Southern,-2.57,150.8,83.61,83.61,76,56,10.54,PG,07/28/2020
Norman Wells,Northern,65.28,-126.83,66.2,66.2,59,75,11.41,CA,07/28/2020
Sinnamary,Northern,5.38,-52.95,77.99,77.99,84,69,5.44,GF,07/28/2020
Iquique,Southern,-20.22,-70.14,59.0,59.0,67,90,4.7,CL,07/28/2020
Terrace Bay,Northern,48.78,-87.1,59.09,59.09,83,94,4.47,CA,07/28/2020
Mehamn,Northern,71.04,27.85,61.57,61.57,66,0,9.35,NO,07/28/2020
Disna,Northern,55.57,28.2,60.64,60.64,97,100,4.83,BY,07/28/2020
Meadville,Northern,41.64,-80.15,71.01,69.8,100,75,6.93,US,07/28/2020
Ahipara,Southern,-35.17,173.17,60.55,60.55,66,58,10.45,NZ,07/28/2020
Alta Floresta,Southern,-9.88,-56.09,70.48,70.48,45,0,3.65,BR,07/28/2020
Rosbach,Northern,50.8,7.62,64.0,61.0,64,50,4.07,DE,07/28/2020
Half Moon Bay,Northern,37.46,-122.43,70.0,57.0,93,90,4.7,US,07/28/2020
Bibiani,Northern,6.46,-2.32,66.63,66.63,100,98,1.57,GH,07/28/2020
Talnakh,Northern,69.49,88.4,59.0,59.0,44,0,11.18,RU,07/28/2020
Yantal',Northern,56.85,105.25,67.19,67.19,71,80,5.66,RU,07/28/2020
Ouésso,Northern,1.61,16.05,69.08,69.08,92,26,2.77,CG,07/28/2020
Hammerfest,Northern,70.66,23.68,66.2,66.2,59,7,14.99,NO,07/28/2020
Shimanovsk,Northern,52.0,127.7,83.82,83.82,53,0,8.63,RU,07/28/2020
Leeton,Southern,-34.57,146.4,64.0,60.8,63,40,10.29,AU,07/28/2020
Tucumcari,Northern,35.17,-103.72,69.8,69.8,88,90,20.8,US,07/28/2020
Stornoway,Northern,58.21,-6.39,52.0,51.8,93,99,20.8,GB,07/28/2020
Mitú,Northern,1.2,-70.17,71.08,71.08,96,38,0.38,CO,07/28/2020
Brigham City,Northern,41.51,-112.02,82.4,77.0,23,1,24.16,US,07/28/2020
Kiryat Gat,Northern,31.61,34.76,78.01,71.01,85,0,2.33,IL,07/28/2020
Adrar,Northern,20.5,-10.07,90.82,90.82,37,2,20.27,MR,07/28/2020
Saint-Joseph,Southern,-21.37,55.62,68.0,57.0,82,90,4.7,RE,07/28/2020
Vila Velha,Southern,-20.33,-40.29,66.2,66.2,93,0,1.12,BR,07/28/2020
Nizhniy Baskunchak,Northern,48.22,46.83,74.82,74.82,29,73,8.9,RU,07/28/2020
Meadow Lake,Northern,34.8,-106.54,78.8,75.0,41,75,16.11,US,07/28/2020
Saint-Augustin,Northern,51.23,-58.65,57.34,57.34,90,100,8.37,CA,07/28/2020
Salinópolis,Southern,-0.61,-47.36,78.73,78.73,85,14,11.03,BR,07/28/2020
Ouro Preto do Oeste,Southern,-10.75,-62.22,76.62,76.62,48,93,2.39,BR,07/28/2020
Grimshaw,Northern,56.18,-117.6,82.4,82.4,54,75,2.24,CA,07/28/2020
Shimoda,Northern,34.67,138.95,80.6,75.99,94,75,18.34,JP,07/28/2020
Quatre Cocos,Southern,-20.21,57.76,66.99,64.4,93,75,4.7,MU,07/28/2020
Virginia Beach,Northern,36.85,-75.98,84.99,81.0,70,20,3.36,US,07/28/2020
Avera,Northern,33.19,-82.53,84.2,75.0,100,40,6.93,US,07/28/2020
Dondaicha,Northern,21.33,74.57,82.76,82.76,76,98,14.18,IN,07/28/2020
Lompoc,Northern,34.64,-120.46,62.6,59.0,77,0,12.75,US,07/28/2020
Ketchikan,Northern,55.34,-131.65,62.6,60.8,63,75,11.41,US,07/28/2020
Iralaya,Northern,15.0,-83.23,81.41,81.41,82,82,15.08,HN,07/28/2020
São João do Piauí,Southern,-8.36,-42.25,72.79,72.79,69,12,8.34,BR,07/28/2020
Chicama,Southern,-7.84,-79.15,59.83,59.83,84,18,4.56,PE,07/28/2020
Wagar,Northern,16.15,36.2,76.53,76.53,73,98,5.64,SD,07/28/2020
Xapuri,Southern,-10.65,-68.5,73.35,73.35,67,1,1.03,BR,07/28/2020
Palmeira,Southern,-25.43,-50.01,57.74,57.74,80,91,2.91,BR,07/28/2020
Charters Towers,Southern,-20.1,146.27,70.03,70.03,25,0,15.28,AU,07/28/2020
Amapá,Northern,1.0,-52.0,72.1,72.1,86,54,2.37,BR,07/28/2020
Sokołów Podlaski,Northern,52.41,22.25,61.23,61.23,90,100,6.11,PL,07/28/2020
Bonavista,Northern,48.65,-53.11,54.43,54.43,92,85,5.73,CA,07/28/2020
Bodri,Northern,23.17,81.43,85.51,85.51,63,100,4.92,IN,07/28/2020
Bambous Virieux,Southern,-20.34,57.76,66.99,64.4,93,75,4.7,MU,07/28/2020
Aripuanã,Southern,-9.17,-60.63,75.29,75.29,53,100,0.74,BR,07/28/2020
Abu Samrah,Northern,35.3,37.18,77.5,77.5,51,6,3.51,SY,07/28/2020
Constitución,Southern,-35.33,-72.42,44.65,44.65,67,0,10.25,CL,07/28/2020
Nawābganj,Northern,24.59,88.27,89.91,89.91,63,100,2.04,BD,07/28/2020
Yurga,Northern,55.72,84.89,63.97,63.97,78,14,1.79,RU,07/28/2020
Manoel Urbano,Southern,-8.84,-69.26,73.15,73.15,65,0,0.83,BR,07/28/2020
Altamont,Northern,42.21,-121.74,75.0,71.01,40,20,6.93,US,07/28/2020
Mossamedes,Southern,-15.2,12.15,64.09,64.09,77,0,4.88,AO,07/28/2020
Talagang,Northern,32.93,72.42,95.79,95.79,36,0,6.29,PK,07/28/2020
Kangaatsiaq,Northern,68.31,-53.46,43.2,43.2,90,75,4.41,GL,07/28/2020
São Filipe,Northern,14.9,-24.5,75.83,75.83,77,97,7.14,CV,07/28/2020
Coahuayana Viejo,Northern,18.73,-103.68,75.2,75.2,83,40,11.41,MX,07/28/2020
Karpogory,Northern,64.0,44.45,62.74,62.74,77,0,2.06,RU,07/28/2020
Sola,Southern,-13.88,167.55,80.26,80.26,83,82,22.59,VU,07/28/2020
Evensk,Northern,61.95,159.23,54.7,54.7,85,95,8.95,RU,07/28/2020
Rawson,Southern,-43.3,-65.1,42.35,42.35,64,0,19.06,AR,07/28/2020
Jogīghopa,Northern,26.23,90.58,82.69,82.69,82,100,2.21,IN,07/28/2020
Townsville,Southern,-19.25,146.8,73.4,73.0,25,0,19.46,AU,07/28/2020
Muborak,Northern,39.26,65.15,89.02,89.02,16,0,7.7,UZ,07/28/2020
Paraopeba,Southern,-19.28,-44.4,62.6,62.6,77,0,3.36,BR,07/28/2020
Morant Bay,Northern,17.88,-76.41,82.99,82.4,74,20,6.93,JM,07/28/2020
College,Northern,64.86,-147.8,59.0,52.0,77,90,5.82,US,07/28/2020
Alofi,Southern,-19.06,-169.92,77.0,77.0,65,40,17.22,NU,07/28/2020
Strai,Northern,58.2,7.9,59.0,55.99,93,100,12.75,NO,07/28/2020
Bjørnevatn,Northern,69.67,29.98,57.2,57.2,87,0,4.7,NO,07/28/2020
Kidal,Northern,18.44,1.41,82.99,82.99,56,99,13.53,ML,07/28/2020
Toguchin,Northern,55.24,84.39,64.38,64.38,79,52,0.43,RU,07/28/2020
Klaksvík,Northern,62.23,-6.59,46.4,46.4,93,97,14.99,FO,07/28/2020
Darhan,Northern,49.49,105.92,72.95,72.95,52,0,5.97,MN,07/28/2020
Oswego,Northern,43.45,-76.15,78.8,73.0,74,20,4.7,US,07/28/2020
Nelson Bay,Southern,-32.72,152.15,57.2,57.0,93,90,19.46,AU,07/28/2020
Kharp,Northern,66.8,65.81,53.19,53.19,62,100,3.87,RU,07/28/2020
Amarante do Maranhão,Southern,-5.57,-46.74,68.88,68.88,50,0,2.08,BR,07/28/2020
Muhos,Northern,64.81,25.99,59.0,57.99,87,100,5.82,FI,07/28/2020
Lubango,Southern,-14.92,13.49,51.96,51.96,54,0,4.36,AO,07/28/2020
Kieta,Southern,-6.22,155.63,85.01,85.01,64,39,3.31,PG,07/28/2020
Baykit,Northern,61.67,96.37,65.26,65.26,59,96,1.92,RU,07/28/2020
Khandyga,Northern,62.67,135.6,62.91,62.91,94,100,2.1,RU,07/28/2020
Paengaroa,Southern,-37.82,176.42,57.99,55.0,66,37,1.99,NZ,07/28/2020
Jizan,Northern,17.33,42.67,77.0,77.0,88,40,9.17,SA,07/28/2020
Moerai,Southern,-22.43,-151.33,69.69,69.69,89,100,5.35,PF,07/28/2020
Yangi Marg`ilon,Northern,40.43,71.72,80.6,80.6,39,85,6.93,UZ,07/28/2020
Ambanja,Southern,-13.68,48.45,69.03,69.03,81,28,2.3,MG,07/28/2020
Marrakesh,Northern,31.63,-8.01,77.0,77.0,57,0,5.82,MA,07/28/2020
Kamenka,Northern,51.32,42.77,60.01,59.0,71,0,4.0,RU,07/28/2020
Maracanã,Southern,-0.77,-47.45,73.29,73.29,97,11,2.84,BR,07/28/2020
Santarém,Southern,-2.44,-54.71,77.0,77.0,94,16,2.24,BR,07/28/2020
Moussoro,Northern,13.64,16.49,83.93,83.93,57,55,10.71,TD,07/28/2020
Vardø,Northern,70.37,31.11,53.6,53.6,87,0,5.82,NO,07/28/2020
Murgab,Northern,37.5,61.97,77.0,77.0,44,0,4.59,TM,07/28/2020
Hay River,Northern,60.82,-115.8,68.0,68.0,72,75,5.82,CA,07/28/2020
Sobolevo,Northern,54.43,31.9,61.77,61.77,95,75,6.42,RU,07/28/2020
Aykhal,Northern,66.0,111.5,46.4,46.4,75,90,4.47,RU,07/28/2020
Manacapuru,Southern,-3.3,-60.62,77.0,77.0,83,3,1.9,BR,07/28/2020
Shellbrook,Northern,53.22,-106.4,75.2,75.2,64,5,5.82,CA,07/28/2020
Santa Fe,Southern,-31.63,-60.7,48.99,48.0,51,66,7.0,AR,07/28/2020
Bonnyville,Northern,54.27,-110.73,82.4,82.4,45,5,3.36,CA,07/28/2020
Luocheng,Northern,29.38,104.03,88.34,88.34,60,66,2.71,CN,07/28/2020
Augusto Corrêa,Southern,-1.02,-46.63,73.49,73.49,95,1,2.73,BR,07/28/2020
Srīvardhan,Northern,18.03,73.02,82.22,82.22,79,99,2.66,IN,07/28/2020
Wawa,Northern,9.9,4.42,72.55,72.55,94,95,4.63,NG,07/28/2020
Vorselaar,Northern,51.2,4.77,66.0,64.99,79,84,3.0,BE,07/28/2020
Maracás,Southern,-13.44,-40.43,58.08,58.08,100,78,6.2,BR,07/28/2020
Cockburn Town,Northern,21.46,-71.14,82.49,82.49,76,1,18.03,TC,07/28/2020
Peniche,Northern,39.36,-9.38,66.99,64.0,95,28,7.0,PT,07/28/2020
Falmouth,Northern,50.15,-5.07,57.2,55.4,93,19,11.41,GB,07/28/2020
Khandagayty,Northern,50.73,92.05,56.23,56.23,76,100,4.94,RU,07/28/2020
Pandan,Northern,14.05,124.17,82.85,82.85,79,100,5.19,PH,07/28/2020
Longyearbyen,Northern,78.22,15.64,62.6,62.6,55,99,10.29,SJ,07/28/2020
Bullhead City,Northern,35.15,-114.57,107.6,105.01,8,1,12.75,US,07/28/2020
Mundra,Northern,22.85,69.73,85.69,85.69,76,53,15.93,IN,07/28/2020
Labuan,Northern,5.28,115.24,82.4,82.0,88,40,4.7,MY,07/28/2020
Micheweni,Southern,-4.97,39.83,77.04,77.04,75,66,17.47,TZ,07/28/2020
Stolin,Northern,51.89,26.85,62.6,62.6,92,87,1.95,BY,07/28/2020
Abū Zabad,Northern,12.35,29.25,76.32,76.32,79,92,13.69,SD,07/28/2020
Bāfq,Northern,31.61,55.41,88.75,88.75,12,0,3.96,IR,07/28/2020
Bambanglipuro,Southern,-7.95,110.28,81.93,81.93,63,7,14.79,ID,07/28/2020
Aksha,Northern,50.28,113.29,63.28,63.28,94,100,1.81,RU,07/28/2020
Snyder,Northern,32.72,-100.92,87.8,87.8,40,1,5.82,US,07/28/2020
Biak,Southern,-0.91,122.88,81.48,81.48,72,100,9.51,ID,07/28/2020
Shubarshi,Northern,48.59,57.19,64.62,64.62,66,0,11.54,KZ,07/28/2020
Gerga,Northern,42.35,47.96,73.4,73.0,73,0,6.71,RU,07/28/2020
Tateyama,Northern,34.98,139.87,81.0,79.0,94,75,25.28,JP,07/28/2020
Dāmghān,Northern,36.17,54.35,81.75,81.75,33,0,4.61,IR,07/28/2020
Suntar,Northern,62.14,117.63,61.29,61.29,58,100,9.19,RU,07/28/2020
Qaqortoq,Northern,60.72,-46.03,46.4,46.4,93,100,4.7,GL,07/28/2020
Crotone,Northern,39.09,17.12,75.99,75.99,50,0,7.72,IT,07/28/2020
Amalāpuram,Northern,16.58,82.02,86.0,86.0,79,40,3.89,IN,07/28/2020
Santa Rosa,Northern,14.31,121.11,87.01,84.0,74,100,2.3,PH,07/28/2020
Kosh-Agach,Northern,50.0,88.67,56.32,56.32,61,71,2.68,RU,07/28/2020
Pokhara,Northern,28.23,83.98,77.76,77.76,76,83,3.83,NP,07/28/2020
Talara,Southern,-4.58,-81.27,63.07,63.07,85,0,16.26,PE,07/28/2020
Miyako,Northern,39.64,141.95,66.97,66.97,93,100,5.19,JP,07/28/2020
Imbituba,Southern,-28.24,-48.67,64.4,64.4,93,64,8.05,BR,07/28/2020
Gobabis,Southern,-22.45,18.97,37.4,37.4,55,0,1.12,NA,07/28/2020
Independence,Northern,39.09,-94.42,78.8,73.99,78,1,6.4,US,07/28/2020
Beringovskiy,Northern,63.05,179.32,65.77,65.77,59,0,2.21,RU,07/28/2020
Lewistown,Northern,40.6,-77.57,82.4,77.0,61,1,3.36,US,07/28/2020
Geraldton,Southern,-28.77,114.6,66.2,66.2,77,90,11.41,AU,07/28/2020
Muroto-misakicho,Northern,33.28,134.15,82.4,82.4,94,75,6.93,JP,07/28/2020
Wates,Southern,-8.13,111.95,80.47,80.47,64,75,13.02,ID,07/28/2020
Husavik,Northern,66.04,-17.34,46.4,46.4,81,90,10.29,IS,07/28/2020
Rantepao,Southern,-2.97,119.9,81.16,81.16,51,84,4.56,ID,07/28/2020
Voh,Southern,-20.97,164.7,80.24,80.24,55,99,8.59,NC,07/28/2020
Konya Province,Northern,38.17,32.5,73.4,73.4,46,0,14.99,TR,07/28/2020
Omboué,Southern,-1.57,9.26,74.03,74.03,83,97,7.49,GA,07/28/2020
Bowen,Southern,-20.02,148.23,78.01,75.2,34,0,12.75,AU,07/28/2020
Champerico,Northern,14.3,-91.92,81.93,81.93,74,100,4.83,GT,07/28/2020
Kozan,Northern,37.46,35.82,80.01,75.2,100,8,3.36,TR,07/28/2020
Moyale,Northern,3.52,39.06,64.45,64.45,85,85,15.86,KE,07/28/2020
Egvekinot,Northern,66.32,-179.17,50.38,50.38,68,100,6.62,RU,07/28/2020
Boende,Southern,-0.22,20.87,70.86,70.86,87,3,1.59,CD,07/28/2020
