city,hemisphere,lat,lng,max_temp,humidity,cloudiness,wind_speed,country,datetime
Chokurdakh,Nothern,70.63,147.92,52.16,78,59,15.17,RU,2020-07-26 12:55:23
Nianzishan,Nothern,47.52,122.88,79.61,46,0,9.73,CN,2020-07-26 12:51:45
Sakakah,Nothern,29.97,40.21,114.8,7,40,11.41,SA,2020-07-26 12:55:24
Bluff,Southern,-46.6,168.33,45.79,86,0,9.69,NZ,2020-07-26 12:55:24
Ponta do Sol,Nothern,32.67,-17.1,73.0,68,0,2.91,PT,2020-07-26 12:55:24
Atambua,Southern,-9.11,124.89,68.41,81,100,6.31,ID,2020-07-26 12:55:25
Vostok,Nothern,46.49,135.88,61.16,91,0,3.2,RU,2020-07-26 12:55:25
Severo-Kuril'sk,Nothern,50.68,156.12,50.22,88,100,13.73,RU,2020-07-26 12:55:25
Vaini,Southern,-21.2,-175.2,69.8,77,75,8.05,TO,2020-07-26 12:55:25
Saint-Philippe,Southern,-21.36,55.77,73.4,60,100,23.04,RE,2020-07-26 12:55:25
Atuona,Southern,-9.8,-139.03,79.25,78,7,20.09,PF,2020-07-26 12:55:25
Faanui,Southern,-16.48,-151.75,77.4,84,45,16.17,PF,2020-07-26 12:53:59
Nanortalik,Nothern,60.14,-45.24,44.83,86,41,3.6,GL,2020-07-26 12:55:26
Kiryat Gat,Nothern,31.61,34.76,91.0,56,0,3.0,IL,2020-07-26 12:51:36
Guadalajara,Nothern,20.67,-103.33,62.6,88,75,2.1,MX,2020-07-26 12:54:37
Port Elizabeth,Southern,-33.92,25.57,62.6,72,75,25.28,ZA,2020-07-26 12:55:26
Catuday,Nothern,16.29,119.81,84.04,74,100,7.14,PH,2020-07-26 12:55:26
Ushuaia,Southern,-54.8,-68.3,32.0,95,90,9.17,AR,2020-07-26 12:55:27
Boyolangu,Southern,-8.12,111.89,72.18,85,94,6.08,ID,2020-07-26 12:55:27
Port Hedland,Southern,-20.32,118.57,64.4,31,20,5.82,AU,2020-07-26 12:54:04
Nishihara,Nothern,26.18,127.76,82.4,78,75,11.41,JP,2020-07-26 12:55:27
Kapaa,Nothern,22.08,-159.32,78.8,83,75,18.34,US,2020-07-26 12:55:16
Benghazi,Nothern,32.12,20.07,83.23,65,0,13.76,LY,2020-07-26 12:52:43
Albany,Nothern,42.6,-73.97,73.99,66,0,5.57,US,2020-07-26 12:55:28
Iquique,Southern,-20.22,-70.14,59.0,67,90,6.93,CL,2020-07-26 12:55:28
Jamestown,Nothern,42.1,-79.24,72.0,93,1,9.17,US,2020-07-26 12:55:28
Puerto Colombia,Nothern,10.99,-74.95,78.8,88,40,2.24,CO,2020-07-26 12:55:28
Rikitea,Southern,-23.12,-134.97,70.11,81,37,20.92,PF,2020-07-26 12:55:28
Barrow,Nothern,71.29,-156.79,44.6,87,90,11.41,US,2020-07-26 12:55:02
Port Alfred,Southern,-33.59,26.89,63.75,67,46,25.86,ZA,2020-07-26 12:55:29
Busselton,Southern,-33.65,115.33,62.01,71,100,7.85,AU,2020-07-26 12:55:29
Tuktoyaktuk,Nothern,69.45,-133.04,45.23,92,100,6.93,CA,2020-07-26 12:55:29
Punta Arenas,Southern,-53.15,-70.92,33.8,80,100,19.46,CL,2020-07-26 12:55:29
Zhezkazgan,Nothern,47.8,67.71,91.4,18,75,8.95,KZ,2020-07-26 12:55:30
Cap Malheureux,Southern,-19.98,57.61,69.8,73,75,17.22,MU,2020-07-26 12:53:22
Avarua,Southern,-21.21,-159.78,69.8,83,100,3.36,CK,2020-07-26 12:55:30
Mahibadhoo,Nothern,3.78,72.97,83.57,64,91,5.44,MV,2020-07-26 12:55:30
Isangel,Southern,-19.55,169.27,71.6,83,67,5.82,VU,2020-07-26 12:51:49
Vardø,Nothern,70.37,31.11,59.32,69,99,18.25,NO,2020-07-26 12:50:01
Tuy Hoa,Nothern,13.08,109.3,80.69,85,84,8.66,VN,2020-07-26 12:55:31
Bengkulu,Southern,-3.8,102.27,79.05,86,100,9.46,ID,2020-07-26 12:55:31
Samarai,Southern,-10.62,150.67,78.94,87,69,12.46,PG,2020-07-26 12:53:33
Morondava,Southern,-20.28,44.28,75.51,49,0,12.86,MG,2020-07-26 12:55:31
Mafinga,Southern,-7.25,35.07,83.89,24,97,7.63,TZ,2020-07-26 12:55:31
Ribeira Grande,Nothern,38.52,-28.7,73.4,88,75,8.05,PT,2020-07-26 12:55:31
Mataura,Southern,-46.19,168.86,37.33,94,3,2.28,NZ,2020-07-26 12:55:32
Tuatapere,Southern,-46.13,167.68,40.19,86,1,4.23,NZ,2020-07-26 12:55:32
Bredasdorp,Southern,-34.53,20.04,60.8,59,63,10.29,ZA,2020-07-26 12:55:32
Cape Town,Southern,-33.93,18.42,66.0,59,20,17.22,ZA,2020-07-26 12:55:32
Haines Junction,Nothern,60.75,-137.51,47.84,84,100,1.7,CA,2020-07-26 12:55:32
Provideniya,Nothern,64.38,-173.3,54.3,70,100,6.22,RU,2020-07-26 12:53:41
Sørland,Nothern,67.67,12.69,60.8,67,20,8.05,NO,2020-07-26 12:55:33
Ust-Maya,Nothern,60.42,134.53,60.21,96,75,2.89,RU,2020-07-26 12:55:33
Castro,Southern,-24.79,-50.01,57.78,83,100,9.24,BR,2020-07-26 12:55:33
La Santisima Trinidad,Southern,-14.83,-64.9,57.2,87,75,3.78,BO,2020-07-26 12:50:58
Mar del Plata,Southern,-38.0,-57.56,50.0,70,98,14.99,AR,2020-07-26 12:55:33
Belaya Gora,Nothern,68.53,146.42,73.53,50,97,8.28,RU,2020-07-26 12:55:33
New Norfolk,Southern,-42.78,147.06,48.0,82,100,3.11,AU,2020-07-26 12:55:34
Masindi,Nothern,1.67,31.71,81.1,52,25,2.73,UG,2020-07-26 12:55:34
East London,Southern,-33.02,27.91,69.8,46,20,27.51,ZA,2020-07-26 12:55:34
Sisimiut,Nothern,66.94,-53.67,45.7,91,100,9.31,GL,2020-07-26 12:54:06
Hermanus,Southern,-34.42,19.23,57.99,76,16,3.0,ZA,2020-07-26 12:52:20
Souillac,Southern,-20.52,57.52,69.8,73,75,17.22,MU,2020-07-26 12:55:34
Staunton,Nothern,38.15,-79.07,78.01,83,1,3.42,US,2020-07-26 12:55:35
Río Gallegos,Southern,-51.62,-69.22,24.8,79,75,9.17,AR,2020-07-26 12:55:35
Whitehorse,Nothern,60.72,-135.05,50.0,93,90,10.29,CA,2020-07-26 12:55:35
Kruisfontein,Southern,-34.0,24.73,60.01,75,100,8.99,ZA,2020-07-26 12:55:35
Yerbogachën,Nothern,61.28,108.01,58.75,84,1,5.7,RU,2020-07-26 12:54:19
Lahat,Southern,-3.8,103.53,74.82,84,94,2.33,ID,2020-07-26 12:55:36
Upernavik,Nothern,72.79,-56.15,44.02,91,100,11.88,GL,2020-07-26 12:53:34
Yellowknife,Nothern,62.46,-114.35,55.4,87,20,3.36,CA,2020-07-26 12:55:36
Qaanaaq,Nothern,77.48,-69.36,45.86,57,0,2.15,GL,2020-07-26 12:55:36
Iquitos,Southern,-3.75,-73.25,71.6,94,75,2.24,PE,2020-07-26 12:55:36
Monywa,Nothern,22.12,95.13,91.94,54,100,4.94,MM,2020-07-26 12:55:36
Villamontes,Southern,-21.25,-63.5,59.31,29,100,1.83,BO,2020-07-26 12:52:00
Tornio,Nothern,65.85,24.15,62.6,77,20,9.17,FI,2020-07-26 12:55:37
Mulanje,Southern,-16.03,35.5,69.8,56,40,8.05,MW,2020-07-26 12:55:37
Tuban,Southern,-6.9,112.06,76.59,76,99,7.87,ID,2020-07-26 12:55:37
Saint George,Nothern,37.1,-113.58,73.99,33,1,6.93,US,2020-07-26 12:53:26
Atyrau,Nothern,47.12,51.88,91.4,16,40,11.18,KZ,2020-07-26 12:52:13
Paamiut,Nothern,61.99,-49.67,43.99,91,71,4.47,GL,2020-07-26 12:55:38
Nogliki,Nothern,51.83,143.17,48.72,92,66,7.38,RU,2020-07-26 12:55:38
Kaitangata,Southern,-46.28,169.85,44.01,79,84,3.0,NZ,2020-07-26 12:55:38
Laguna,Nothern,38.42,-121.42,62.6,72,1,4.7,US,2020-07-26 12:55:38
Mirador,Southern,-6.37,-44.36,82.51,41,9,11.77,BR,2020-07-26 12:55:38
Puerto Ayora,Southern,-0.74,-90.35,66.99,91,86,3.0,EC,2020-07-26 12:55:13
Klaksvík,Nothern,62.23,-6.59,55.4,76,40,11.41,FO,2020-07-26 12:55:39
Hofn,Nothern,64.25,-15.21,55.4,62,75,11.41,IS,2020-07-26 12:54:24
Hilo,Nothern,19.73,-155.09,78.8,78,40,19.46,US,2020-07-26 12:53:14
Iqaluit,Nothern,63.75,-68.51,44.6,87,75,2.24,CA,2020-07-26 12:55:39
Beloha,Southern,-25.17,45.05,77.63,27,0,6.24,MG,2020-07-26 12:53:50
Tiznit Province,Nothern,29.58,-9.5,92.5,28,0,9.24,MA,2020-07-26 12:55:40
Port Lincoln,Southern,-34.73,135.87,53.55,82,81,7.74,AU,2020-07-26 12:54:20
Hithadhoo,Southern,-0.6,73.08,83.21,71,100,10.11,MV,2020-07-26 12:55:40
Dikson,Nothern,73.51,80.55,38.91,90,75,18.01,RU,2020-07-26 12:55:40
Bathsheba,Nothern,13.22,-59.52,86.0,70,40,16.11,BB,2020-07-26 12:55:41
Rāvar,Nothern,31.27,56.81,102.24,9,0,19.37,IR,2020-07-26 12:55:41
Sitka,Nothern,57.05,-135.33,57.2,93,90,20.8,US,2020-07-26 12:55:41
Kostomuksha,Nothern,64.57,30.58,64.54,70,35,8.08,RU,2020-07-26 12:55:41
Ilulissat,Nothern,69.22,-51.1,44.6,93,100,11.41,GL,2020-07-26 12:55:41
Fort Nelson,Nothern,58.81,-122.7,50.0,93,75,5.82,CA,2020-07-26 12:55:42
Rūdbār,Nothern,30.15,62.6,111.88,6,0,10.58,AF,2020-07-26 12:55:42
Dunedin,Southern,-45.87,170.5,44.01,78,8,4.23,NZ,2020-07-26 12:53:04
Tasiilaq,Nothern,65.61,-37.64,46.4,70,43,8.05,GL,2020-07-26 12:55:42
Whyalla,Southern,-33.03,137.58,44.6,93,100,4.47,AU,2020-07-26 12:55:42
Nikolskoye,Nothern,59.7,30.79,69.8,52,40,8.95,RU,2020-07-26 12:55:42
Voznesen'ye,Nothern,61.01,35.48,68.65,71,20,5.41,RU,2020-07-26 12:55:43
Omsukchan,Nothern,62.53,155.8,56.53,55,0,8.12,RU,2020-07-26 12:55:43
Hokitika,Southern,-42.72,170.97,45.63,87,1,4.52,NZ,2020-07-26 12:55:43
Kavaratti,Nothern,10.57,72.64,82.17,79,100,11.83,IN,2020-07-26 12:53:58
Provincia di Imperia,Nothern,43.97,7.78,78.8,69,40,9.17,IT,2020-07-26 12:55:43
Kysyl-Syr,Nothern,63.9,122.76,57.6,84,14,4.92,RU,2020-07-26 12:53:41
San Patricio,Nothern,19.22,-104.7,76.59,88,100,3.15,MX,2020-07-26 12:55:44
Nizhniy Odes,Nothern,63.64,54.86,79.03,32,82,2.53,RU,2020-07-26 12:54:04
Camaná,Southern,-16.62,-72.71,63.07,64,0,5.32,PE,2020-07-26 12:53:52
Ca Mau,Nothern,9.18,105.15,80.31,84,100,2.26,VN,2020-07-26 12:51:15
Tura,Nothern,25.52,90.22,79.09,90,100,2.35,IN,2020-07-26 12:55:44
Grindavik,Nothern,63.84,-22.43,53.6,76,75,10.29,IS,2020-07-26 12:53:21
São João do Piauí,Southern,-8.36,-42.25,82.11,36,1,12.46,BR,2020-07-26 12:55:45
Chui,Southern,-33.7,-53.46,45.41,82,0,7.99,UY,2020-07-26 12:50:46
Darhan,Nothern,49.49,105.92,65.19,81,28,3.38,MN,2020-07-26 12:55:46
Port Blair,Nothern,11.67,92.75,83.91,73,19,3.53,IN,2020-07-26 12:55:46
Butaritari,Nothern,3.07,172.79,83.12,74,0,17.9,KI,2020-07-26 12:55:46
Asău,Nothern,46.43,26.4,84.2,37,100,6.93,RO,2020-07-26 12:55:47
Hearst,Nothern,49.68,-83.67,71.76,89,97,7.0,CA,2020-07-26 12:55:47
Nísia Floresta,Southern,-6.09,-35.21,73.4,94,75,11.41,BR,2020-07-26 12:55:47
Saint Paul Harbor,Nothern,57.79,-152.41,53.6,81,90,6.93,US,2020-07-26 12:53:08
Airai,Southern,-8.93,125.41,54.63,100,93,3.83,TL,2020-07-26 12:55:48
Yining,Nothern,29.04,114.56,79.2,87,100,1.07,CN,2020-07-26 12:53:14
Hanover,Nothern,52.37,9.73,75.0,56,20,12.75,DE,2020-07-26 12:55:49
Palu,Southern,-0.89,119.87,77.76,81,100,2.71,ID,2020-07-26 12:53:19
Arouca,Nothern,10.63,-61.33,86.0,79,20,3.36,TT,2020-07-26 12:55:49
San Rafael,Southern,-34.62,-68.33,52.39,43,87,11.05,AR,2020-07-26 12:51:41
Clyde River,Nothern,70.47,-68.59,42.8,100,75,8.05,CA,2020-07-26 12:53:08
Carnarvon,Southern,-24.87,113.63,64.4,93,0,8.05,AU,2020-07-26 12:53:20
Boddam,Nothern,57.47,-1.78,66.2,59,75,16.11,GB,2020-07-26 12:55:50
Kidal,Nothern,18.44,1.41,101.5,22,11,0.6,ML,2020-07-26 12:55:50
Lompoc,Nothern,34.64,-120.46,57.2,87,90,3.36,US,2020-07-26 12:55:51
Bilma,Nothern,18.69,12.92,107.04,11,23,6.35,NE,2020-07-26 12:49:22
Pacific Grove,Nothern,36.62,-121.92,57.99,93,84,2.93,US,2020-07-26 12:52:16
Laas,Nothern,46.62,10.7,75.0,77,40,4.7,IT,2020-07-26 12:55:51
Awjilah,Nothern,29.11,21.29,101.55,13,0,14.09,LY,2020-07-26 12:54:19
Coquimbo,Southern,-29.95,-71.34,48.2,57,0,4.7,CL,2020-07-26 12:55:52
Hamilton,Nothern,39.18,-84.53,78.01,94,1,2.75,US,2020-07-26 12:55:20
Longyearbyen,Nothern,78.22,15.64,60.8,72,0,11.41,SJ,2020-07-26 12:52:19
Am Timan,Nothern,11.03,20.28,86.63,60,88,4.97,TD,2020-07-26 12:51:51
Katsuura,Nothern,35.13,140.3,77.0,94,100,14.29,JP,2020-07-26 12:54:08
Flinders,Southern,-34.58,150.86,59.0,94,100,8.99,AU,2020-07-26 12:55:53
Lebu,Southern,-37.62,-73.65,51.13,89,55,8.12,CL,2020-07-26 12:55:53
Vilhena,Southern,-12.74,-60.15,64.4,68,0,10.29,BR,2020-07-26 12:55:53
Talnakh,Nothern,69.49,88.4,53.6,58,100,26.84,RU,2020-07-26 12:55:54
Yamethin,Nothern,20.43,96.15,83.77,72,100,3.56,MM,2020-07-26 12:55:54
Arraial do Cabo,Southern,-22.97,-42.03,73.4,83,75,5.82,BR,2020-07-26 12:53:16
Ambilobe,Southern,-13.2,49.05,72.81,65,100,4.94,MG,2020-07-26 12:55:55
Zhuhai,Nothern,22.28,113.57,93.0,84,20,10.29,CN,2020-07-26 12:55:55
Cap-aux-Meules,Nothern,47.38,-61.86,66.2,93,90,10.29,CA,2020-07-26 12:55:55
Nuevo Imperial,Southern,-13.08,-76.32,61.34,72,1,1.72,PE,2020-07-26 12:55:55
Atar,Nothern,20.52,-13.05,98.6,23,0,2.24,MR,2020-07-26 12:53:38
Narsaq,Nothern,60.92,-46.05,50.0,81,78,3.36,GL,2020-07-26 12:55:56
George Town,Nothern,5.41,100.34,86.0,70,20,4.7,MY,2020-07-26 12:55:56
Cherskiy,Nothern,68.75,161.3,72.73,42,24,12.5,RU,2020-07-26 12:55:56
Belyy Yar,Nothern,53.6,91.39,78.8,47,99,4.38,RU,2020-07-26 12:55:57
Nara,Nothern,34.69,135.8,75.2,94,75,4.7,JP,2020-07-26 12:55:57
Arvika,Nothern,59.66,12.59,71.6,68,99,11.41,SE,2020-07-26 12:55:57
Ilesha,Nothern,7.14,5.26,81.55,73,42,4.54,NG,2020-07-26 12:55:58
Téra,Nothern,14.01,0.75,95.61,36,12,8.68,NE,2020-07-26 12:55:58
Santarém,Southern,-2.44,-54.71,84.2,83,20,6.93,BR,2020-07-26 12:51:04
Soyo,Southern,-6.13,12.37,80.6,65,40,6.93,AO,2020-07-26 12:55:58
Bogatyye Saby,Nothern,56.01,50.45,68.79,63,2,10.27,RU,2020-07-26 12:55:59
Karasjok,Nothern,69.47,25.51,71.6,46,22,28.86,NO,2020-07-26 12:55:59
Tarakan,Nothern,3.3,117.63,83.71,74,0,10.76,ID,2020-07-26 12:55:59
Bethel,Nothern,41.37,-73.41,75.2,88,1,4.7,US,2020-07-26 12:55:59
Codrington,Southern,-38.27,141.97,44.15,87,100,4.81,AU,2020-07-26 12:55:59
Khatanga,Nothern,71.97,102.5,44.85,66,100,8.72,RU,2020-07-26 12:55:59
Hobyo,Nothern,5.35,48.53,82.38,65,61,25.3,SO,2020-07-26 12:55:59
Dalton,Nothern,34.77,-84.97,72.0,94,90,1.07,US,2020-07-26 12:56:00
Todos Santos,Nothern,23.45,-110.22,70.0,87,2,1.01,MX,2020-07-26 12:56:00
Gardenstown,Nothern,57.67,-2.34,64.0,67,77,5.01,GB,2020-07-26 12:56:00
Lüderitz,Southern,-26.65,15.16,82.4,30,0,19.46,NA,2020-07-26 12:56:01
Healdsburg,Nothern,38.61,-122.87,55.99,100,90,0.56,US,2020-07-26 12:56:01
Hidalgotitlán,Nothern,17.78,-94.63,78.8,88,75,6.64,MX,2020-07-26 12:56:01
Diffa,Nothern,13.32,12.61,98.62,31,79,9.17,NE,2020-07-26 12:56:02
Whitecourt,Nothern,54.15,-115.69,46.4,81,20,2.24,CA,2020-07-26 12:56:02
Mahébourg,Southern,-20.41,57.7,69.8,73,75,17.22,MU,2020-07-26 12:56:02
Harper,Nothern,4.38,-7.72,78.69,68,100,9.17,LR,2020-07-26 12:53:35
Zhigansk,Nothern,66.77,123.37,53.19,69,100,13.02,RU,2020-07-26 12:56:02
Walvis Bay,Southern,-22.96,14.51,86.0,25,0,11.41,NA,2020-07-26 12:56:02
Hobart,Southern,-42.88,147.33,48.2,70,88,3.36,AU,2020-07-26 12:52:59
Bosaso,Nothern,11.28,49.18,92.26,47,92,9.08,SO,2020-07-26 12:56:03
Elgin,Nothern,42.04,-88.28,79.0,78,20,10.29,US,2020-07-26 12:56:03
Portland,Nothern,45.52,-122.68,62.6,59,1,4.7,US,2020-07-26 12:52:12
Mweka,Southern,-4.85,21.57,97.66,16,100,2.8,CD,2020-07-26 12:56:04
Hohhot,Nothern,40.81,111.65,64.4,93,20,2.24,CN,2020-07-26 12:53:54
Hualmay,Southern,-11.1,-77.61,61.02,78,100,5.1,PE,2020-07-26 12:53:13
Comodoro Rivadavia,Southern,-45.87,-67.5,33.8,86,75,4.7,AR,2020-07-26 12:50:03
Cabo San Lucas,Nothern,22.89,-109.91,77.0,65,5,14.99,MX,2020-07-26 12:51:56
Baturaja,Southern,-4.13,104.17,75.02,88,57,2.77,ID,2020-07-26 12:56:05
Toila,Nothern,59.42,27.5,67.03,54,19,7.14,EE,2020-07-26 12:56:05
Ampanihy,Southern,-24.7,44.75,78.8,20,0,6.11,MG,2020-07-26 12:56:05
Shingū,Nothern,33.73,135.98,74.12,93,100,1.9,JP,2020-07-26 12:52:42
Goryachegorsk,Nothern,55.41,88.92,60.21,97,100,3.74,RU,2020-07-26 12:56:06
Quatre Cocos,Southern,-20.21,57.76,69.8,73,75,17.22,MU,2020-07-26 12:56:06
Enshi,Nothern,30.3,109.48,68.23,86,100,6.73,CN,2020-07-26 12:56:06
Deputatsky,Nothern,69.3,139.9,55.6,91,85,2.37,RU,2020-07-26 12:56:06
Bambous Virieux,Southern,-20.34,57.76,69.8,73,75,17.22,MU,2020-07-26 12:56:07
Fukuechō,Nothern,32.69,128.84,79.16,88,100,8.12,JP,2020-07-26 12:56:07
Torbay,Nothern,47.67,-52.73,64.99,82,40,13.87,CA,2020-07-26 12:56:07
Okha,Nothern,53.57,142.95,49.48,93,2,11.52,RU,2020-07-26 12:56:07
Isla Vista,Nothern,34.41,-119.86,59.0,93,90,4.7,US,2020-07-26 12:56:08
Saint Anthony,Nothern,45.02,-93.22,70.0,94,90,5.61,US,2020-07-26 12:56:08
Chifeng,Nothern,42.27,118.96,71.53,63,100,7.74,CN,2020-07-26 12:56:08
Naze,Nothern,28.37,129.48,82.4,83,72,8.05,JP,2020-07-26 12:56:08
Birao,Nothern,10.28,22.79,84.88,67,97,1.54,CF,2020-07-26 12:56:08
Wagar,Nothern,16.15,36.2,94.69,37,100,14.74,SD,2020-07-26 12:56:09
Laredo,Nothern,27.51,-99.51,73.4,94,90,21.92,US,2020-07-26 12:56:09
Barabinsk,Nothern,55.36,78.36,66.6,77,0,6.04,RU,2020-07-26 12:56:09
Sur,Nothern,22.57,59.53,90.82,56,100,10.25,OM,2020-07-26 12:56:10
La Ronge,Nothern,55.1,-105.28,59.0,87,75,10.29,CA,2020-07-26 12:56:10
Pisco,Southern,-13.7,-76.22,57.99,76,75,6.93,PE,2020-07-26 12:56:10
Jacareacanga,Southern,-6.22,-57.75,84.25,46,0,4.12,BR,2020-07-26 12:52:20
Libertador General San Martín,Southern,-23.81,-64.79,46.99,73,0,2.35,AR,2020-07-26 12:56:10
Dali,Nothern,25.7,100.18,65.03,90,100,4.88,CN,2020-07-26 12:56:11
Belle Fourche,Nothern,44.67,-103.85,62.01,72,90,7.11,US,2020-07-26 12:51:19
Pokhara,Nothern,28.23,83.98,76.32,86,100,1.68,NP,2020-07-26 12:55:30
Neiafu,Southern,-18.65,-173.98,75.2,78,20,5.82,TO,2020-07-26 12:56:11
Kyzyl-Suu,Nothern,42.34,78.0,72.32,44,34,3.6,KG,2020-07-26 12:56:11
Dabola,Nothern,10.75,-11.12,78.53,84,48,5.77,GN,2020-07-26 12:56:12
Nagato,Nothern,34.38,131.2,75.2,94,75,10.29,JP,2020-07-26 12:56:12
Mehamn,Nothern,71.04,27.85,66.88,49,0,15.48,NO,2020-07-26 12:56:12
Mareeba,Southern,-17.0,145.43,69.8,68,0,6.93,AU,2020-07-26 12:56:13
Ordynskoye,Nothern,54.37,81.9,65.59,84,9,6.87,RU,2020-07-26 12:56:13
Te Anau,Southern,-45.42,167.72,37.74,86,29,0.72,NZ,2020-07-26 12:50:07
Angoram,Southern,-4.06,144.07,75.22,97,100,1.19,PG,2020-07-26 12:56:13
Żory,Nothern,50.05,18.7,87.01,49,100,1.01,PL,2020-07-26 12:55:59
Yangambi,Nothern,0.81,24.43,82.24,71,51,3.87,CD,2020-07-26 12:56:14
Alofi,Southern,-19.06,-169.92,69.8,100,29,6.93,NU,2020-07-26 12:53:19
Cobija,Southern,-11.03,-68.77,65.57,74,100,3.94,BO,2020-07-26 12:56:15
Colares,Nothern,38.8,-9.45,82.99,57,20,19.46,PT,2020-07-26 12:56:15
Kimbe,Southern,-5.55,150.14,75.97,88,96,4.88,PG,2020-07-26 12:56:15
Hay River,Nothern,60.82,-115.8,51.8,93,20,4.7,CA,2020-07-26 12:51:21
Griffith,Nothern,41.53,-87.42,77.0,88,1,6.93,US,2020-07-26 12:50:12
Provincia di Rimini,Nothern,44.02,12.52,87.01,58,100,9.17,IT,2020-07-26 12:56:15
Kärdla,Nothern,59.0,22.75,69.8,43,0,12.75,EE,2020-07-26 12:56:16
Pindiga,Nothern,9.98,10.93,80.87,74,12,13.56,NG,2020-07-26 12:56:16
Tilichiki,Nothern,60.47,166.1,54.81,79,0,5.75,RU,2020-07-26 12:56:16
Denpasar,Southern,-8.65,115.22,77.0,94,20,11.41,ID,2020-07-26 12:52:38
Flin Flon,Nothern,54.77,-101.86,59.0,87,40,8.05,CA,2020-07-26 12:56:17
Progreso,Nothern,21.28,-89.67,78.01,94,75,5.82,MX,2020-07-26 12:54:21
Mujiayingzi,Nothern,42.12,118.78,68.18,73,100,4.61,CN,2020-07-26 12:56:17
Simplício Mendes,Southern,-7.85,-41.91,81.19,36,32,12.28,BR,2020-07-26 12:56:17
Chapais,Nothern,49.78,-74.85,66.2,100,90,5.82,CA,2020-07-26 12:53:58
Genç,Nothern,38.75,40.56,96.8,15,20,16.11,TR,2020-07-26 12:56:18
Ust-Tsilma,Nothern,65.44,52.15,80.28,37,99,1.21,RU,2020-07-26 12:54:22
Tyukalinsk,Nothern,55.87,72.2,67.37,53,75,5.1,RU,2020-07-26 12:56:18
Rabaul,Southern,-4.2,152.17,81.28,75,86,8.68,PG,2020-07-26 12:56:18
La Paz,Southern,-16.5,-68.15,30.2,63,20,2.24,BO,2020-07-26 12:55:19
Arcata,Nothern,40.87,-124.08,57.2,82,90,1.57,US,2020-07-26 12:54:56
Ballina,Southern,-28.87,153.57,59.0,72,75,11.41,AU,2020-07-26 12:54:00
San Policarpo,Nothern,12.18,125.51,83.93,77,100,3.8,PH,2020-07-26 12:56:19
Husavik,Nothern,66.04,-17.34,48.2,81,75,9.17,IS,2020-07-26 12:51:14
Linxia Chengguanzhen,Nothern,35.6,103.21,67.77,51,1,6.91,CN,2020-07-26 12:56:19
Imbituba,Southern,-28.24,-48.67,59.0,77,75,2.24,BR,2020-07-26 12:56:19
Chinsali,Southern,-10.54,32.08,72.09,44,91,7.52,ZM,2020-07-26 12:56:19
Santa Cruz del Sur,Nothern,20.71,-78.0,80.8,86,100,8.93,CU,2020-07-26 12:56:20
Shelabolikha,Nothern,53.41,82.62,68.0,64,40,11.18,RU,2020-07-26 12:56:20
Zadar,Nothern,44.12,15.24,86.0,40,20,16.11,HR,2020-07-26 12:56:20
Kavieng,Southern,-2.57,150.8,82.78,82,100,12.88,PG,2020-07-26 12:51:56
Svetlaya,Nothern,46.54,138.33,58.93,85,68,2.42,RU,2020-07-26 12:56:21
Camacha,Nothern,33.08,-16.33,73.4,60,40,14.99,PT,2020-07-26 12:56:21
Hurricane,Nothern,37.18,-113.29,73.99,31,0,4.29,US,2020-07-26 12:56:21
Vīrarājendrapet,Nothern,12.2,75.8,82.4,83,20,5.82,IN,2020-07-26 12:56:22
Sennar,Nothern,13.57,33.57,93.02,40,79,13.8,SD,2020-07-26 12:56:22
